date,carbon_monoxide,ozone,pm25
2015-05-11,0.2791665,0.00949525,
2015-05-12,0.259511,0.033255,11.475
2015-05-13,0.18125,0.02255625,
2015-05-14,0.21875,0.03568925,
2015-05-15,0.29791650000000003,0.0374635,8.575
2015-05-16,0.422917,0.02143025,
2015-05-17,0.47291700000000003,0.030179249999999998,
2015-05-18,0.437953,0.0247915,14.95
2015-05-19,0.48750000000000004,0.015810249999999998,
2015-05-20,0.1166665,0.024129,
2015-05-21,0.185417,0.02164375,5.175
2015-05-22,0.139583,0.037232749999999995,
2015-05-23,0.1354165,0.03099325,
2015-05-24,0.23125,0.04234275,9.85
2015-05-25,0.2083335,0.04568975,
2015-05-26,0.20625,0.03822875,
2015-05-27,0.2526515,0.020139,9.5
2015-05-28,0.28125,0.028098249999999998,
2015-05-29,0.16875,0.0298045,
2015-05-30,0.202083,0.01797525,6.6
2015-05-31,0.145833,0.02217575,
2015-06-01,0.1020835,0.01573625,
2015-06-02,0.104167,0.007962499999999999,3.725
2015-06-03,0.1020835,0.01946825,
2015-06-04,0.1,0.023532749999999998,
2015-06-05,0.22291699999999998,0.01305275,7.725
2015-06-06,0.1729165,0.0275365,
2015-06-07,0.0770835,0.03387825,
2015-06-08,0.1020835,0.03276975,7.4
2015-06-09,0.13125,0.038101499999999996,
2015-06-10,0.127083,0.04022375,
2015-06-11,0.2511775,0.0489165,26.7
2015-06-12,0.2770835,0.04020175,
2015-06-13,0.1354165,0.03715125,
2015-06-14,0.21875,0.0431005,9.625
2015-06-15,0.19166650000000002,0.02506925,
2015-06-16,0.2375,0.01657475,
2015-06-17,0.08541699999999999,0.027144,8.0
2015-06-18,0.0615945,0.026103499999999998,
2015-06-19,0.0270835,0.0279965,
2015-06-20,0.0041665,0.020405,9.5
2015-06-21,0.01875,0.02972975,
2015-06-22,-0.0770835,0.03992375,
2015-06-23,0.184091,0.03575575,15.566666666666668
2015-06-24,0.3979165,0.0271355,
2015-06-25,0.47291649999999996,0.02909975,
2015-06-26,0.4583335,0.037773249999999994,10.25
2015-06-27,0.389583,0.028083,
2015-06-28,0.3833335,0.023465,
2015-06-29,0.349811,0.0257955,4.1
2015-06-30,0.4145835,0.034230750000000004,
2015-07-01,0.452083,0.04391225,
2015-07-02,0.4479165,0.024476,11.6
2015-07-03,0.35833349999999997,0.04232,
2015-07-04,0.38749999999999996,0.03799875,
2015-07-05,0.43125,0.0364135,13.95
2015-07-06,0.475,0.02973775,
2015-07-07,0.441667,0.031004249999999997,
2015-07-08,0.4708335,0.0239525,17.725
2015-07-09,0.48333349999999997,0.02544425,
2015-07-10,0.374275,0.02713775,
2015-07-11,0.34791649999999996,0.0386365,12.75
2015-07-12,0.379167,0.0373135,
2015-07-13,0.39791699999999997,0.034927,
2015-07-14,0.39375,0.02555825,11.125
2015-07-15,0.4047615,0.03012575,
2015-07-16,0.2291665,0.035355,
2015-07-17,0.3125,0.03483175,6.725
2015-07-18,0.39583349999999995,0.03067325,
2015-07-19,0.441667,0.048383999999999996,
2015-07-20,0.385417,0.041795,14.8
2015-07-21,0.3958335,0.0334995,
2015-07-22,0.21627000000000002,0.029276,
2015-07-23,0.2125,0.0288745,6.25
2015-07-24,0.2354165,0.028816500000000002,
2015-07-25,0.30625,0.04154175,
2015-07-26,0.29583349999999997,0.04295825,9.950000000000001
2015-07-27,0.34791700000000003,0.0348885,
2015-07-28,0.3416665,0.04029175,
2015-07-29,0.3458335,0.04224475,15.275
